中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,19 ms,725 Mbps,92876 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,72 ms,387 Mbps,49561 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,54 ms,376 Mbps,48230 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,64 ms,276 Mbps,35328 kB/s
35.197.23.75,443,35.212.227.159,US,Seattle,隧道,73 ms,346 Mbps,44339 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,73 ms,349 Mbps,44748 kB/s
35.230.79.26,443,35.212.227.159,US,Seattle,隧道,95 ms,305 Mbps,39116 kB/s
34.82.76.253,443,34.169.31.209,US,Seattle,隧道,72 ms,353 Mbps,45260 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,92 ms,44 Mbps,5736 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,72 ms,275 Mbps,35225 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,104 ms,41 Mbps,5309 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,96 ms,42 Mbps,5499 kB/s
141.144.204.181,443,2606:f240:f00:a683:0:1ebf:989a:f98a,DE,Frankfurt,隧道,106 ms,188 Mbps,24166 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,101 ms,252 Mbps,32256 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,104 ms,44 Mbps,5661 kB/s
129.146.46.164,443,129.146.46.164,164 Mbps,21094 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,173 ms,27 Mbps,3573 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,183 ms,35 Mbps,4605 kB/s
129.154.221.170,443,130.162.140.114,KR,Seoul,隧道,206 ms,72 Mbps,9330 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,212 ms,32 Mbps,4166 kB/s
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,230 ms,0 Mbps,3 kB/s
3.112.21.102,443,3.112.21.102,JP,Hong Kong,中转,173 ms,97 Mbps,12492 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,216 ms,35 Mbps,4538 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,235 ms,29 Mbps,3769 kB/s
8.219.134.131,443,47.245.114.12,SG,Singapore,隧道,236 ms,57 Mbps,7313 kB/s
168.138.212.80,443,168.138.212.80,JP,Los Angeles,中转,168 ms,38 Mbps,4937 kB/s
8.219.206.24,443,47.236.1.53,SG,Singapore,隧道,241 ms,60 Mbps,7730 kB/s
146.56.146.67,443,2602:ffe4:407:20d9:0:8e36:216c:32aa,SG,Singapore,隧道,275 ms,40 Mbps,5167 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,209 ms,76 Mbps,9822 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,137 ms,1 Mbps,134 kB/s
